brand,category,product_type,skin_type,sensitivity,rating,price,product
NARS,Skincare,Face Powder,Dry,Yes,4.7,87.92,NARS Face Powder Edition D4
Clinique,Makeup,Body Lotion,Dry,Yes,4.8,52.5,Clinique Body Lotion Edition C6
Dior,Skincare,Body Lotion,Dry,No,2.3,74.37,Dior Body Lotion Edition A6
Estee Lauder,Makeup,Face Cream,Oily,Yes,2.4,63.82,Estee Lauder Face Cream Edition B9
Lancome,Skincare,Foundation,Oily,No,3,22.73,Lancome Foundation Edition B7
Dior,Makeup,Sunscreen,Oily,No,4.8,7.44,Dior Sunscreen SPF70 Edition D1
Sephora,Makeup,Foundation,Dry,No,4.5,32.03,Sephora Foundation Edition E8
L'Oreal,Skincare,Face Cream,Dry,Yes,1.4,47.09,L'Oreal Face Cream Edition D7
Sephora,Makeup,Body Lotion,Dry,No,2.6,63.63,Sephora Body Lotion Edition E4
Dior,Makeup,Concealer,Oily,Yes,3.2,85.75,Dior Concealer Edition D5
NARS,Skincare,Body Lotion,Dry,Yes,3,23.64,NARS Body Lotion Edition E1
Lancome,Makeup,Sunscreen,Normal,Yes,1.8,16.93,Lancome Sunscreen SPF100 Edition B5
Lancome,Makeup,Body Lotion,Normal,Yes,4.4,96.53,Lancome Body Lotion Edition C2
Maybelline,Skincare,Sunscreen,Dry,No,3.7,15.26,Maybelline Sunscreen SPF70 Edition D4
Lancome,Skincare,Sunscreen,Normal,Yes,4.4,50.46,Lancome Sunscreen SPF100 Edition D3
Estee Lauder,Makeup,Sunscreen,Normal,No,4.4,60.63,Estee Lauder Sunscreen SPF15 Edition D7
Lancome,Makeup,Face Cream,Oily,No,4,56.43,Lancome Face Cream Edition D5
Dior,Skincare,Sunscreen,Dry,Yes,2.8,13.17,Dior Sunscreen SPF30 Edition D2
Maybelline,Skincare,Sunscreen,Dry,No,3.4,10.42,Maybelline Sunscreen SPF30 Edition E7
Dior,Makeup,Concealer,Oily,No,1.6,15.02,Dior Concealer Edition B9
Dior,Skincare,Foundation,Normal,Yes,3.7,60.63,Dior Foundation Edition E7
MAC,Makeup,Face Powder,Normal,No,1.7,56.71,MAC Face Powder Edition E6
Maybelline,Makeup,Foundation,Dry,No,3.8,27.21,Maybelline Foundation Edition C3
Dior,Makeup,Sunscreen,Normal,No,1.9,65.59,Dior Sunscreen SPF15 Edition E8
MAC,Makeup,Concealer,Oily,No,1.5,82.91,MAC Concealer Edition D1
MAC,Makeup,Body Lotion,Oily,Yes,1.7,8.95,MAC Body Lotion Edition E5
Maybelline,Skincare,Concealer,Dry,No,1,52.32,Maybelline Concealer Edition A9
Sephora,Skincare,Sunscreen,Oily,No,3.9,70.48,Sephora Sunscreen SPF30 Edition A5
NARS,Skincare,Concealer,Oily,No,3.9,28.97,NARS Concealer Edition A4
Estee Lauder,Skincare,Concealer,Dry,No,3.1,34.24,Estee Lauder Concealer Edition E8
NARS,Makeup,Sunscreen,Oily,Yes,1.6,63.3,NARS Sunscreen SPF70 Edition C3
Lancome,Makeup,Face Cream,Oily,No,1.3,90.3,Lancome Face Cream Edition B1
Estee Lauder,Makeup,Concealer,Oily,Yes,1.1,81.94,Estee Lauder Concealer Edition E8
Lancome,Makeup,Face Powder,Normal,No,1.7,60.4,Lancome Face Powder Edition A1
Dior,Skincare,Face Powder,Dry,Yes,4.6,74.37,Dior Face Powder Edition D6
L'Oreal,Makeup,Concealer,Dry,Yes,2,39.66,L'Oreal Concealer Edition A1
Maybelline,Makeup,Face Cream,Dry,Yes,2.4,65.89,Maybelline Face Cream Edition B5
Estee Lauder,Skincare,Body Lotion,Normal,Yes,1.4,49.29,Estee Lauder Body Lotion Edition D8
Estee Lauder,Skincare,Sunscreen,Normal,Yes,1.9,23.04,Estee Lauder Sunscreen SPF15 Edition D4
Dior,Skincare,Face Powder,Dry,No,3.1,71.67,Dior Face Powder Edition D5
Sephora,Skincare,Body Lotion,Normal,No,3.4,57.86,Sephora Body Lotion Edition E2
MAC,Makeup,Concealer,Dry,No,2,39.07,MAC Concealer Edition A3
Dior,Makeup,Body Lotion,Normal,Yes,1.2,91.58,Dior Body Lotion Edition A1
Revlon,Skincare,Foundation,Oily,No,2.6,6.99,Revlon Foundation Edition E3
MAC,Makeup,Face Powder,Oily,Yes,1.9,35,MAC Face Powder Edition B5
Maybelline,Makeup,Concealer,Dry,Yes,1.9,10.4,Maybelline Concealer Edition C9
MAC,Makeup,Sunscreen,Normal,No,4.8,77.82,MAC Sunscreen SPF100 Edition C9
Sephora,Skincare,Face Cream,Normal,No,3.5,71.7,Sephora Face Cream Edition E7
MAC,Makeup,Concealer,Oily,Yes,3.2,36.48,MAC Concealer Edition D4
Maybelline,Skincare,Sunscreen,Oily,Yes,2.7,69.19,Maybelline Sunscreen SPF100 Edition D2
Sephora,Makeup,Face Cream,Normal,No,2.7,42.61,Sephora Face Cream Edition C5
NARS,Makeup,Face Cream,Normal,No,3.2,76.84,NARS Face Cream Edition E1
Estee Lauder,Makeup,Concealer,Normal,No,3.8,48.15,Estee Lauder Concealer Edition A1
Estee Lauder,Skincare,Body Lotion,Normal,No,3.8,44.17,Estee Lauder Body Lotion Edition E2
Lancome,Makeup,Body Lotion,Normal,Yes,1.7,93.8,Lancome Body Lotion Edition C3
NARS,Skincare,Face Cream,Normal,No,3,28.83,NARS Face Cream Edition B4
NARS,Skincare,Body Lotion,Dry,No,2.6,16.44,NARS Body Lotion Edition A1
MAC,Skincare,Foundation,Normal,No,4.5,60.53,MAC Foundation Edition C2
Estee Lauder,Makeup,Face Cream,Oily,Yes,3.5,97.09,Estee Lauder Face Cream Edition D3
Maybelline,Makeup,Face Cream,Dry,Yes,3.1,40.89,Maybelline Face Cream Edition A5
Clinique,Makeup,Sunscreen,Normal,Yes,1.5,10.89,Clinique Sunscreen SPF50 Edition B5
Clinique,Makeup,Body Lotion,Oily,Yes,3.4,37.23,Clinique Body Lotion Edition A7
Sephora,Skincare,Face Cream,Dry,No,1.5,53.06,Sephora Face Cream Edition D8
Estee Lauder,Skincare,Foundation,Oily,Yes,2.3,20.38,Estee Lauder Foundation Edition E4
Estee Lauder,Skincare,Sunscreen,Normal,No,1.6,67.52,Estee Lauder Sunscreen SPF70 Edition A5
Clinique,Makeup,Concealer,Normal,No,3.8,99.79,Clinique Concealer Edition D8
Estee Lauder,Skincare,Face Cream,Normal,No,1.8,47.92,Estee Lauder Face Cream Edition E9
MAC,Makeup,Foundation,Normal,No,2.6,38.7,MAC Foundation Edition D3
Revlon,Skincare,Face Powder,Dry,Yes,4.6,43.07,Revlon Face Powder Edition E2
L'Oreal,Makeup,Foundation,Dry,Yes,1.8,15.94,L'Oreal Foundation Edition B9
NARS,Makeup,Foundation,Oily,Yes,3,88.91,NARS Foundation Edition C2
Lancome,Skincare,Sunscreen,Normal,No,2.7,44.41,Lancome Sunscreen SPF50 Edition A8
Sephora,Skincare,Concealer,Oily,No,1.1,41.79,Sephora Concealer Edition C7
Revlon,Skincare,Face Powder,Dry,No,4.2,67.67,Revlon Face Powder Edition A1
Clinique,Skincare,Body Lotion,Normal,No,1.3,46.99,Clinique Body Lotion Edition D9
NARS,Makeup,Body Lotion,Normal,No,2.9,66.58,NARS Body Lotion Edition D8
Estee Lauder,Skincare,Foundation,Dry,Yes,3.2,10.84,Estee Lauder Foundation Edition D3
Lancome,Skincare,Sunscreen,Dry,No,3.5,82.3,Lancome Sunscreen SPF100 Edition C3
Estee Lauder,Skincare,Sunscreen,Dry,Yes,3.8,94.35,Estee Lauder Sunscreen SPF15 Edition D4
Maybelline,Makeup,Body Lotion,Dry,No,2,66.63,Maybelline Body Lotion Edition E1
Maybelline,Makeup,Face Powder,Dry,No,1,95.68,Maybelline Face Powder Edition E1
Lancome,Skincare,Concealer,Normal,Yes,3.9,19.39,Lancome Concealer Edition B7
Lancome,Makeup,Face Powder,Dry,Yes,3.1,50.35,Lancome Face Powder Edition D6
Clinique,Skincare,Face Cream,Normal,No,4.3,62.17,Clinique Face Cream Edition B2
Lancome,Makeup,Face Cream,Normal,No,4.3,60.26,Lancome Face Cream Edition C7
MAC,Makeup,Concealer,Dry,No,4.4,43.14,MAC Concealer Edition A2
Estee Lauder,Makeup,Body Lotion,Dry,No,2.9,37.12,Estee Lauder Body Lotion Edition D8
Revlon,Makeup,Concealer,Normal,Yes,2.3,17.05,Revlon Concealer Edition B7
Dior,Skincare,Sunscreen,Dry,No,4.2,42.22,Dior Sunscreen SPF70 Edition D2
Lancome,Skincare,Face Cream,Dry,Yes,2.8,20.45,Lancome Face Cream Edition C9
Sephora,Skincare,Foundation,Dry,No,1.7,74.76,Sephora Foundation Edition C9
Maybelline,Makeup,Foundation,Oily,Yes,4.4,24.84,Maybelline Foundation Edition C3
MAC,Skincare,Body Lotion,Normal,Yes,4.5,10.56,MAC Body Lotion Edition B5
NARS,Skincare,Sunscreen,Oily,No,2.9,57.47,NARS Sunscreen SPF70 Edition D4
Dior,Skincare,Face Powder,Dry,Yes,1.3,61.55,Dior Face Powder Edition A2
Revlon,Makeup,Sunscreen,Oily,No,2.6,87.83,Revlon Sunscreen SPF70 Edition C6
Dior,Makeup,Foundation,Dry,Yes,4.2,59.81,Dior Foundation Edition E6
Lancome,Makeup,Foundation,Oily,No,4.6,37.82,Lancome Foundation Edition D8
Clinique,Skincare,Face Cream,Dry,Yes,1.8,81.29,Clinique Face Cream Edition A1
Maybelline,Skincare,Sunscreen,Oily,No,1.3,56.33,Maybelline Sunscreen SPF70 Edition A5
Maybelline,Skincare,Sunscreen,Oily,No,4.5,12.53,Maybelline Sunscreen SPF70 Edition B6
NARS,Makeup,Foundation,Oily,Yes,2.6,58.76,NARS Foundation Edition D7
Clinique,Makeup,Face Powder,Normal,Yes,3.2,91.26,Clinique Face Powder Edition B2
Estee Lauder,Skincare,Body Lotion,Oily,Yes,4.9,42.65,Estee Lauder Body Lotion Edition B1
L'Oreal,Makeup,Body Lotion,Normal,Yes,1.3,33.15,L'Oreal Body Lotion Edition D7
MAC,Makeup,Sunscreen,Dry,No,3.6,18.63,MAC Sunscreen SPF70 Edition A3
Maybelline,Makeup,Body Lotion,Oily,Yes,1.3,19.39,Maybelline Body Lotion Edition C7
Sephora,Makeup,Foundation,Dry,No,2.5,46.11,Sephora Foundation Edition B6
Maybelline,Skincare,Foundation,Dry,Yes,4.2,61.59,Maybelline Foundation Edition B6
Dior,Makeup,Sunscreen,Oily,No,2.7,12.66,Dior Sunscreen SPF30 Edition E3
Maybelline,Makeup,Sunscreen,Normal,No,5,94.26,Maybelline Sunscreen SPF30 Edition D6
Maybelline,Makeup,Face Cream,Oily,No,3.2,76.74,Maybelline Face Cream Edition E2
L'Oreal,Makeup,Sunscreen,Dry,No,2.3,60.73,L'Oreal Sunscreen SPF30 Edition C3
L'Oreal,Skincare,Face Powder,Dry,Yes,1.9,83.7,L'Oreal Face Powder Edition C3
Revlon,Skincare,Body Lotion,Oily,Yes,2.4,12.62,Revlon Body Lotion Edition E1
Estee Lauder,Makeup,Sunscreen,Normal,No,2.5,50.3,Estee Lauder Sunscreen SPF30 Edition E8
Sephora,Makeup,Concealer,Normal,Yes,1.3,64.86,Sephora Concealer Edition D7
Maybelline,Makeup,Face Cream,Dry,Yes,2.5,83.72,Maybelline Face Cream Edition A4
Maybelline,Makeup,Concealer,Dry,No,2.9,79.43,Maybelline Concealer Edition C5
MAC,Makeup,Foundation,Normal,Yes,3.9,31.32,MAC Foundation Edition B9
L'Oreal,Makeup,Body Lotion,Oily,Yes,3.6,94.38,L'Oreal Body Lotion Edition C3
Sephora,Skincare,Sunscreen,Dry,Yes,3.8,16.81,Sephora Sunscreen SPF70 Edition E8
NARS,Makeup,Concealer,Normal,No,1,88.14,NARS Concealer Edition C3
Revlon,Skincare,Body Lotion,Dry,Yes,1.9,97.24,Revlon Body Lotion Edition C4
Estee Lauder,Skincare,Foundation,Oily,No,3.6,21.83,Estee Lauder Foundation Edition A5
Clinique,Makeup,Face Powder,Normal,Yes,2.9,73.6,Clinique Face Powder Edition C8
Estee Lauder,Skincare,Face Cream,Dry,Yes,1,8.83,Estee Lauder Face Cream Edition D9
Dior,Skincare,Body Lotion,Oily,Yes,4.2,43.52,Dior Body Lotion Edition E4
Maybelline,Skincare,Body Lotion,Dry,No,4.1,54.05,Maybelline Body Lotion Edition E6
Revlon,Skincare,Face Powder,Oily,No,3.2,60.16,Revlon Face Powder Edition A4
Dior,Skincare,Body Lotion,Oily,Yes,1.3,93.91,Dior Body Lotion Edition A3
Sephora,Skincare,Foundation,Normal,No,4.1,68.86,Sephora Foundation Edition A9
Clinique,Makeup,Foundation,Oily,Yes,3.3,50.72,Clinique Foundation Edition B9
L'Oreal,Skincare,Face Powder,Dry,No,4.1,81.92,L'Oreal Face Powder Edition E4
Revlon,Skincare,Face Cream,Oily,No,4,95.3,Revlon Face Cream Edition B4
Revlon,Skincare,Sunscreen,Oily,Yes,4.2,7.1,Revlon Sunscreen SPF50 Edition D6
Maybelline,Makeup,Concealer,Normal,Yes,3.1,98.34,Maybelline Concealer Edition C3
Lancome,Skincare,Sunscreen,Oily,Yes,1.6,13.18,Lancome Sunscreen SPF100 Edition D8
Revlon,Makeup,Body Lotion,Oily,Yes,3.7,82.37,Revlon Body Lotion Edition D7
MAC,Skincare,Concealer,Dry,No,3.5,31.63,MAC Concealer Edition E9
Clinique,Makeup,Face Powder,Normal,No,4,17.56,Clinique Face Powder Edition A5
Clinique,Makeup,Face Powder,Normal,No,1.7,46.79,Clinique Face Powder Edition E8
MAC,Skincare,Face Cream,Normal,Yes,1.8,66.18,MAC Face Cream Edition B1
NARS,Skincare,Concealer,Oily,Yes,4.6,41.19,NARS Concealer Edition A8
MAC,Makeup,Foundation,Normal,No,4,10.18,MAC Foundation Edition E3
MAC,Skincare,Concealer,Oily,Yes,4.6,61.95,MAC Concealer Edition C8
Clinique,Makeup,Body Lotion,Oily,No,4,90.73,Clinique Body Lotion Edition E7
Estee Lauder,Makeup,Foundation,Dry,No,3.4,41.41,Estee Lauder Foundation Edition E8
Clinique,Makeup,Face Powder,Dry,No,3.6,25.55,Clinique Face Powder Edition B4
Lancome,Makeup,Concealer,Dry,No,4.6,47.04,Lancome Concealer Edition B3
Maybelline,Makeup,Sunscreen,Dry,No,3.3,9.59,Maybelline Sunscreen SPF100 Edition C7
Dior,Skincare,Face Cream,Dry,Yes,3.5,82.95,Dior Face Cream Edition B6
Estee Lauder,Makeup,Sunscreen,Oily,Yes,1.6,83.5,Estee Lauder Sunscreen SPF15 Edition A4
L'Oreal,Makeup,Face Cream,Oily,Yes,2.9,60.86,L'Oreal Face Cream Edition B2
Dior,Skincare,Body Lotion,Normal,No,3.9,38.54,Dior Body Lotion Edition A7
Maybelline,Makeup,Sunscreen,Oily,No,2.1,80.98,Maybelline Sunscreen SPF100 Edition A6
Lancome,Skincare,Concealer,Oily,No,1.8,57.7,Lancome Concealer Edition C6
Lancome,Skincare,Concealer,Dry,No,2.3,83.46,Lancome Concealer Edition B6
L'Oreal,Skincare,Sunscreen,Oily,Yes,2,64.99,L'Oreal Sunscreen SPF70 Edition D9
Estee Lauder,Makeup,Concealer,Dry,Yes,1.9,79.52,Estee Lauder Concealer Edition A8
NARS,Makeup,Body Lotion,Normal,No,2.7,61.86,NARS Body Lotion Edition E1
MAC,Makeup,Foundation,Normal,No,4.6,44.34,MAC Foundation Edition D1
Estee Lauder,Skincare,Body Lotion,Oily,No,3,96,Estee Lauder Body Lotion Edition B5
NARS,Makeup,Face Cream,Normal,Yes,1.8,56.41,NARS Face Cream Edition B6
Lancome,Skincare,Body Lotion,Oily,Yes,1.3,62.48,Lancome Body Lotion Edition E5
Clinique,Makeup,Face Cream,Normal,Yes,3.8,25.95,Clinique Face Cream Edition C2
Maybelline,Skincare,Concealer,Dry,No,2.5,64.44,Maybelline Concealer Edition A6
L'Oreal,Makeup,Foundation,Dry,No,4.3,59.3,L'Oreal Foundation Edition C2
Maybelline,Makeup,Concealer,Dry,Yes,3.6,22.56,Maybelline Concealer Edition D2
Sephora,Makeup,Face Powder,Dry,No,4.2,10.66,Sephora Face Powder Edition E9
Sephora,Skincare,Concealer,Oily,Yes,2.1,62.41,Sephora Concealer Edition C5
Estee Lauder,Skincare,Face Cream,Normal,No,3.8,77.55,Estee Lauder Face Cream Edition D5
Lancome,Makeup,Concealer,Oily,Yes,2.1,54.72,Lancome Concealer Edition E4
Lancome,Makeup,Concealer,Dry,No,4.8,26.54,Lancome Concealer Edition E7
MAC,Skincare,Foundation,Oily,Yes,3.5,68.32,MAC Foundation Edition B5
MAC,Skincare,Concealer,Normal,Yes,2.3,12.61,MAC Concealer Edition C6
MAC,Skincare,Foundation,Oily,Yes,2.1,46.97,MAC Foundation Edition E7
Clinique,Makeup,Sunscreen,Normal,Yes,1.8,20.52,Clinique Sunscreen SPF100 Edition D2
Dior,Skincare,Face Powder,Oily,Yes,3.8,22.52,Dior Face Powder Edition B3
Revlon,Makeup,Foundation,Normal,Yes,1.9,24.22,Revlon Foundation Edition A6
Dior,Skincare,Face Cream,Normal,No,3.4,41.74,Dior Face Cream Edition E3
Maybelline,Makeup,Sunscreen,Dry,No,2.1,9.86,Maybelline Sunscreen SPF100 Edition D3
Dior,Skincare,Foundation,Normal,No,3.6,42.79,Dior Foundation Edition D1
Clinique,Skincare,Foundation,Dry,Yes,4.3,53.61,Clinique Foundation Edition B1
Maybelline,Skincare,Face Powder,Dry,Yes,4.1,50.91,Maybelline Face Powder Edition E7
Dior,Skincare,Face Cream,Dry,No,4,41.36,Dior Face Cream Edition B4
Clinique,Skincare,Body Lotion,Oily,Yes,1.8,84.72,Clinique Body Lotion Edition C2
Revlon,Makeup,Body Lotion,Oily,Yes,1.4,18.81,Revlon Body Lotion Edition C1
Dior,Skincare,Foundation,Oily,Yes,3.8,53.04,Dior Foundation Edition C3
Clinique,Skincare,Concealer,Oily,Yes,2.5,10.89,Clinique Concealer Edition D7
MAC,Skincare,Face Cream,Normal,Yes,2.7,11.76,MAC Face Cream Edition A9
Lancome,Makeup,Sunscreen,Normal,No,1.1,59.52,Lancome Sunscreen SPF70 Edition C6
MAC,Skincare,Concealer,Oily,No,2,58.77,MAC Concealer Edition C3
Lancome,Makeup,Concealer,Normal,No,1.1,88.41,Lancome Concealer Edition B2
L'Oreal,Skincare,Face Cream,Normal,No,4.5,58,L'Oreal Face Cream Edition D5
L'Oreal,Skincare,Foundation,Dry,No,2,96.18,L'Oreal Foundation Edition A2
L'Oreal,Makeup,Foundation,Dry,Yes,3.2,9.63,L'Oreal Foundation Edition B6
Revlon,Skincare,Foundation,Dry,Yes,1.2,14.31,Revlon Foundation Edition E2
MAC,Makeup,Foundation,Dry,Yes,3.7,9.19,MAC Foundation Edition D4
Lancome,Makeup,Body Lotion,Normal,Yes,2.3,22.6,Lancome Body Lotion Edition E1
Clinique,Skincare,Foundation,Oily,No,4.6,56.42,Clinique Foundation Edition A3
Maybelline,Makeup,Body Lotion,Normal,No,4.6,66.33,Maybelline Body Lotion Edition B5
Clinique,Skincare,Body Lotion,Normal,No,2.3,9.33,Clinique Body Lotion Edition B5
Maybelline,Skincare,Foundation,Normal,Yes,4.6,94.87,Maybelline Foundation Edition E6
Sephora,Makeup,Face Powder,Dry,No,5,85.01,Sephora Face Powder Edition D8
Clinique,Makeup,Sunscreen,Dry,Yes,4.3,33.18,Clinique Sunscreen SPF100 Edition E1
Dior,Makeup,Concealer,Dry,No,4.4,12.33,Dior Concealer Edition C4
Dior,Makeup,Body Lotion,Oily,No,2,21.14,Dior Body Lotion Edition E8
Estee Lauder,Skincare,Face Cream,Normal,Yes,3.3,17.06,Estee Lauder Face Cream Edition C5
MAC,Skincare,Face Cream,Oily,Yes,1.3,16.71,MAC Face Cream Edition B6
Maybelline,Makeup,Sunscreen,Dry,No,1.4,54.26,Maybelline Sunscreen SPF30 Edition C6
Maybelline,Skincare,Face Cream,Oily,No,5,28.36,Maybelline Face Cream Edition B6
MAC,Skincare,Face Powder,Normal,Yes,2.3,39.02,MAC Face Powder Edition A8
Revlon,Skincare,Face Cream,Normal,No,4,99,Revlon Face Cream Edition A5
Estee Lauder,Skincare,Concealer,Dry,No,4.2,70.01,Estee Lauder Concealer Edition E8
Revlon,Makeup,Concealer,Dry,Yes,4.4,95.15,Revlon Concealer Edition C6
Revlon,Makeup,Body Lotion,Oily,No,5,18.54,Revlon Body Lotion Edition E8
Revlon,Skincare,Foundation,Dry,Yes,2,41.3,Revlon Foundation Edition D8
MAC,Makeup,Face Powder,Dry,No,1.2,57.7,MAC Face Powder Edition B2
Revlon,Makeup,Body Lotion,Normal,Yes,2.6,12.29,Revlon Body Lotion Edition A9
Dior,Makeup,Face Powder,Dry,No,1.5,5.4,Dior Face Powder Edition B6
L'Oreal,Skincare,Foundation,Dry,Yes,1.1,68.69,L'Oreal Foundation Edition D4
Sephora,Skincare,Face Cream,Normal,No,2.4,65.97,Sephora Face Cream Edition E6
Maybelline,Skincare,Face Cream,Normal,Yes,4.1,44.02,Maybelline Face Cream Edition E6
Maybelline,Makeup,Foundation,Oily,No,3.3,51.52,Maybelline Foundation Edition A8
Sephora,Skincare,Body Lotion,Dry,No,2.3,44.47,Sephora Body Lotion Edition E6
MAC,Skincare,Foundation,Normal,No,3.6,7.28,MAC Foundation Edition D6
Clinique,Makeup,Sunscreen,Oily,No,1.9,36.86,Clinique Sunscreen SPF15 Edition E1
MAC,Skincare,Concealer,Oily,No,1.1,21.82,MAC Concealer Edition A9
Maybelline,Skincare,Body Lotion,Dry,No,4.1,14.35,Maybelline Body Lotion Edition C8
